City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bengkulu,ID,2022-05-22 18:30:35,-3.8004,102.2655,76.19,90,28,3.78,moderate rain
1,Ribeira Grande,PT,2022-05-22 18:30:36,38.5167,-28.7,64.8,100,75,2.3,light intensity drizzle
2,Touros,BR,2022-05-22 18:30:36,-5.1989,-35.4608,79.3,85,24,13.62,few clouds
3,Ambovombe,MG,2022-05-22 18:30:36,-25.1667,46.0833,68.07,77,15,6.69,few clouds
4,Cape Town,ZA,2022-05-22 18:28:48,-33.9258,18.4232,60.12,83,0,5.75,clear sky
5,Butaritari,KI,2022-05-22 18:30:37,3.0707,172.7902,81.34,79,59,10.8,light rain
6,Tibu,CO,2022-05-22 18:30:38,8.639,-72.7358,95.09,39,0,4.65,clear sky
7,Saint-Philippe,RE,2022-05-22 18:30:38,-21.3585,55.7679,71.19,76,38,11.23,scattered clouds
8,Hofn,IS,2022-05-22 18:30:39,64.2539,-15.2082,53.62,54,75,20.71,broken clouds
9,Busselton,AU,2022-05-22 18:30:39,-33.65,115.3333,61.27,67,65,23.49,broken clouds
10,Saint George,US,2022-05-22 18:30:40,37.1041,-113.5841,83.62,10,0,5.75,clear sky
11,Rikitea,PF,2022-05-22 18:30:40,-23.1203,-134.9692,75.85,76,2,13.69,clear sky
12,Buraydah,SA,2022-05-22 18:30:40,26.326,43.975,97.25,8,1,16.67,clear sky
13,Codrington,AU,2022-05-22 18:30:41,-38.2667,141.9667,43.59,95,4,7.72,clear sky
14,Punta Arenas,CL,2022-05-22 18:27:28,-53.15,-70.9167,39.31,70,40,9.22,scattered clouds
15,Hithadhoo,MV,2022-05-22 18:30:42,-0.6,73.0833,83.86,72,90,11.77,overcast clouds
16,Bredasdorp,ZA,2022-05-22 18:30:42,-34.5322,20.0403,56.37,90,38,5.41,scattered clouds
17,Carnarvon,AU,2022-05-22 18:30:43,-24.8667,113.6333,70.86,57,33,18.01,scattered clouds
18,Castro,BR,2022-05-22 18:30:43,-24.7911,-50.0119,64.49,51,4,5.06,clear sky
19,Hounde,BF,2022-05-22 18:30:44,11.5,-3.5167,89.17,40,100,7.58,overcast clouds
20,Atuona,PF,2022-05-22 18:30:44,-9.8,-139.0333,77.34,81,31,17.4,light rain
21,Biak,ID,2022-05-22 18:30:45,-0.9131,122.8766,76.01,83,98,5.82,overcast clouds
22,Yellowknife,CA,2022-05-22 18:30:45,62.456,-114.3525,36.12,80,100,6.91,light snow
23,Albany,US,2022-05-22 18:30:02,42.6001,-73.9662,90.91,46,86,1.01,overcast clouds
24,Kapaa,US,2022-05-22 18:30:46,22.0752,-159.319,78.78,84,20,10.36,few clouds
25,Jamestown,US,2022-05-22 18:25:57,42.097,-79.2353,56.84,94,100,14.97,overcast clouds
26,Pangnirtung,CA,2022-05-22 18:30:46,66.1451,-65.7125,35.6,69,75,6.91,broken clouds
27,Ushuaia,AR,2022-05-22 18:30:47,-54.8,-68.3,40.62,81,20,2.3,few clouds
28,Hobart,AU,2022-05-22 18:30:47,-42.8794,147.3294,50.25,84,100,11.5,overcast clouds
29,San-Pedro,CI,2022-05-22 18:30:48,4.7485,-6.6363,74.17,92,100,5.5,light rain
30,Khorol,UA,2022-05-22 18:30:48,49.7837,33.2783,50.16,85,100,13.51,overcast clouds
31,Nome,US,2022-05-22 18:30:49,64.5011,-165.4064,62.67,23,0,16.11,clear sky
32,Alenquer,BR,2022-05-22 18:30:49,-1.9417,-54.7383,84.2,71,82,1.23,broken clouds
33,Paamiut,GL,2022-05-22 18:30:50,61.994,-49.6678,34.83,91,100,21.27,overcast clouds
34,Airai,TL,2022-05-22 18:30:50,-8.9266,125.4092,58.64,90,50,3.58,scattered clouds
35,Porosozero,RU,2022-05-22 18:30:51,62.7191,32.727,36.77,62,24,4.83,few clouds
36,Vaini,TO,2022-05-22 18:27:34,-21.2,-175.2,73.56,94,75,3.44,broken clouds
37,Barrow,US,2022-05-22 18:30:52,71.2906,-156.7887,23.02,86,100,11.5,mist
38,Kidal,ML,2022-05-22 18:30:52,18.4411,1.4078,87.46,30,42,16.06,scattered clouds
39,Cidreira,BR,2022-05-22 18:30:53,-30.1811,-50.2056,62.58,66,100,4.29,overcast clouds
40,Yar-Sale,RU,2022-05-22 18:30:53,66.8333,70.8333,33.46,93,100,25.57,overcast clouds
41,Hobyo,SO,2022-05-22 18:30:54,5.3505,48.5268,80.22,85,100,29.39,overcast clouds
42,Katsuura,JP,2022-05-22 18:30:54,35.1333,140.3,64.9,88,66,9.51,light rain
43,Souillac,MU,2022-05-22 18:30:55,-20.5167,57.5167,75.58,69,20,11.5,few clouds
44,Egvekinot,RU,2022-05-22 18:30:55,66.3167,-179.1667,43.39,56,99,3.33,overcast clouds
45,Mar Del Plata,AR,2022-05-22 18:30:56,-38.0023,-57.5575,62.94,54,0,5.75,clear sky
46,Baykit,RU,2022-05-22 18:30:56,61.67,96.37,48.16,91,0,3.47,clear sky
47,Hilo,US,2022-05-22 18:30:57,19.7297,-155.09,86.29,70,0,5.99,clear sky
48,Hamilton,US,2022-05-22 18:27:27,39.1834,-84.5333,67.19,75,100,12.66,overcast clouds
49,Tilichiki,RU,2022-05-22 18:30:57,60.4667,166.1,36.16,83,0,4.12,clear sky
50,Hermanus,ZA,2022-05-22 18:31:58,-34.4187,19.2345,60.31,85,69,7.63,broken clouds
51,Puerto Ayora,EC,2022-05-22 18:31:58,-0.7393,-90.3518,78.76,76,66,11.05,broken clouds
52,Labrea,BR,2022-05-22 18:31:59,-7.2586,-64.7981,83.34,64,100,1.03,overcast clouds
53,Jacareacanga,BR,2022-05-22 18:31:59,-6.2222,-57.7528,90.99,40,17,4.25,few clouds
54,New Baltimore,US,2022-05-22 18:32:00,42.6811,-82.7369,64.18,78,75,6.91,broken clouds
55,East London,ZA,2022-05-22 18:32:00,-33.0153,27.9116,59.94,88,0,3.44,clear sky
56,Qaanaaq,GL,2022-05-22 18:28:54,77.484,-69.3632,25.29,75,100,2.93,overcast clouds
57,Aksarka,RU,2022-05-22 18:32:02,66.5606,67.7975,33.24,89,100,27.16,overcast clouds
58,Malacky,SK,2022-05-22 18:32:03,48.436,17.0219,67.12,62,72,4.0,broken clouds
59,Thompson,CA,2022-05-22 18:30:23,55.7435,-97.8558,60.96,29,75,6.91,broken clouds
60,Iquique,CL,2022-05-22 18:31:50,-20.2208,-70.1431,64.44,72,27,7.63,scattered clouds
61,Kudahuvadhoo,MV,2022-05-22 18:32:04,2.6708,72.8944,83.61,75,52,13.11,broken clouds
62,Saint-Joseph,RE,2022-05-22 18:32:04,-21.3667,55.6167,70.18,76,34,11.16,scattered clouds
63,Pobe,BJ,2022-05-22 18:32:05,6.9801,2.6649,74.86,88,100,3.33,light rain
64,Clarksburg,US,2022-05-22 18:30:24,39.2807,-80.3445,81.05,63,100,10.36,overcast clouds
65,Pevek,RU,2022-05-22 18:32:05,69.7008,170.3133,34.65,89,89,11.32,overcast clouds
66,Tadine,NC,2022-05-22 18:32:06,-21.55,167.8833,73.6,88,23,5.23,few clouds
67,Plettenberg Bay,ZA,2022-05-22 18:32:06,-34.0527,23.3716,58.51,67,100,3.69,overcast clouds
68,Saint Anthony,US,2022-05-22 18:32:07,45.0205,-93.218,57.29,41,100,14.97,overcast clouds
69,Lebu,CL,2022-05-22 18:32:07,-37.6167,-73.65,52.27,87,100,11.05,overcast clouds
70,West Point,US,2022-05-22 18:32:08,33.6076,-88.6503,88.36,58,20,13.8,few clouds
71,Dingle,PH,2022-05-22 18:32:08,10.9995,122.6711,77.2,88,100,4.23,overcast clouds
72,San Matias,BO,2022-05-22 18:32:09,-16.3667,-58.4,89.74,28,7,4.21,clear sky
73,Dalby,AU,2022-05-22 18:32:10,-27.1833,151.2667,56.98,91,100,1.01,light rain
74,Dikson,RU,2022-05-22 18:28:51,73.5069,80.5464,25.11,90,100,9.75,overcast clouds
75,Bluff,NZ,2022-05-22 18:32:10,-46.6,168.3333,50.31,73,100,24.79,overcast clouds
76,Ararat,AM,2022-05-22 18:32:11,39.8317,44.7049,73.74,37,20,6.33,few clouds
77,Torbay,CA,2022-05-22 18:32:11,47.6666,-52.7314,64.27,35,75,18.41,broken clouds
78,Dvinskoy,RU,2022-05-22 18:32:12,62.1535,45.1175,35.26,76,100,9.6,light snow
79,Rundu,NA,2022-05-22 18:32:12,-17.9333,19.7667,52.68,38,0,4.5,clear sky
80,Concepcion Del Oro,MX,2022-05-22 18:32:13,24.6333,-101.4167,82.99,18,6,5.79,clear sky
81,Zhanaozen,KZ,2022-05-22 18:32:13,43.3,52.8,60.26,43,0,9.15,clear sky
82,Stephenville,US,2022-05-22 18:30:24,32.2207,-98.2023,72.86,49,0,9.22,clear sky
83,Oistins,BB,2022-05-22 18:32:14,13.0667,-59.5333,84.29,70,20,18.41,few clouds
84,New Norfolk,AU,2022-05-22 18:32:14,-42.7826,147.0587,49.91,82,74,2.37,broken clouds
85,Los Llanos De Aridane,ES,2022-05-22 18:32:15,28.6585,-17.9182,68.13,81,75,14.97,broken clouds
86,Guerrero Negro,MX,2022-05-22 18:32:15,27.9769,-114.0611,67.8,57,0,14.58,clear sky
87,Ponta Do Sol,PT,2022-05-22 18:32:16,32.6667,-17.1,72.01,75,14,2.06,few clouds
88,Klaksvik,FO,2022-05-22 18:32:17,62.2266,-6.589,50.92,89,53,3.78,broken clouds
89,Iqaluit,CA,2022-05-22 18:29:56,63.7506,-68.5145,26.33,79,100,24.16,light snow
90,Bukachacha,RU,2022-05-22 18:32:17,52.9833,116.9167,43.86,88,100,3.13,light rain
91,Marawi,PH,2022-05-22 18:32:18,7.9986,124.2928,69.49,94,100,3.87,overcast clouds
92,Nishihara,JP,2022-05-22 18:32:18,26.1842,127.7558,74.48,83,75,9.22,broken clouds
93,Jiexiu,CN,2022-05-22 18:32:19,37.0244,111.9125,66.07,45,40,1.63,scattered clouds
94,Rudnyy,KZ,2022-05-22 18:32:19,52.9594,63.1206,41.23,73,4,10.71,clear sky
95,Taylorville,US,2022-05-22 18:32:20,39.5489,-89.2945,61.88,51,75,12.66,broken clouds
96,Vanimo,PG,2022-05-22 18:33:20,-2.6741,141.3028,77.79,88,68,4.38,broken clouds
97,Vestmanna,FO,2022-05-22 18:33:21,62.1564,-7.1664,49.12,81,100,2.3,overcast clouds
98,Zilupe,LV,2022-05-22 18:33:22,56.3862,28.1217,43.16,64,100,3.62,overcast clouds
99,Manoel Urbano,BR,2022-05-22 18:33:22,-8.8389,-69.2597,87.67,48,67,2.66,broken clouds
100,Tual,ID,2022-05-22 18:33:23,-5.6667,132.75,83.1,76,63,14.0,broken clouds
101,Miri,MY,2022-05-22 18:33:23,4.4148,114.0089,78.94,89,40,8.05,scattered clouds
102,Ancud,CL,2022-05-22 18:33:23,-41.8697,-73.8203,48.94,68,0,14.14,light rain
103,Dhidhdhoo,MV,2022-05-22 18:33:24,6.8833,73.1,83.57,78,65,15.01,broken clouds
104,Kitui,KE,2022-05-22 18:33:24,-1.367,38.0106,66.94,68,53,5.28,broken clouds
105,Beyneu,KZ,2022-05-22 18:33:25,45.3167,55.2,64.72,42,81,11.3,broken clouds
106,San Quintin,MX,2022-05-22 18:33:25,30.4833,-115.95,65.66,57,0,12.91,clear sky
107,Tautira,PF,2022-05-22 18:33:25,-17.7333,-149.15,79.23,74,26,14.63,scattered clouds
108,Hueytown,US,2022-05-22 18:32:37,33.4512,-86.9967,89.8,53,40,8.05,scattered clouds
109,Khatanga,RU,2022-05-22 18:33:26,71.9667,102.5,31.82,93,100,6.78,overcast clouds
110,Batticaloa,LK,2022-05-22 18:33:26,7.7102,81.6924,81.63,69,16,10.33,few clouds
111,Tahta,EG,2022-05-22 18:33:27,26.7693,31.5021,78.26,18,0,12.84,clear sky
112,Avera,US,2022-05-22 18:33:27,33.194,-82.5271,88.38,36,100,11.54,overcast clouds
113,Awbari,LY,2022-05-22 18:33:28,26.5921,12.7805,83.37,13,81,14.23,broken clouds
114,Tasiilaq,GL,2022-05-22 18:33:29,65.6145,-37.6368,35.76,97,100,8.03,overcast clouds
115,Ilulissat,GL,2022-05-22 18:33:29,69.2167,-51.1,35.62,93,75,5.75,light rain and snow
116,Mataura,NZ,2022-05-22 18:33:30,-46.1927,168.8643,44.33,91,100,7.65,overcast clouds
117,Celestun,MX,2022-05-22 18:33:30,20.8667,-90.4,89.06,66,52,11.5,broken clouds
118,Loukhi,RU,2022-05-22 18:33:31,66.0764,33.0381,34.97,64,39,5.19,scattered clouds
119,Udachnyy,RU,2022-05-22 18:33:31,66.4167,112.4,48.45,52,10,2.1,clear sky
120,Haimen,CN,2022-05-22 18:33:32,23.1935,116.6142,71.49,89,100,14.07,overcast clouds
121,Marica,BR,2022-05-22 18:33:32,-22.9194,-42.8186,76.95,66,0,10.33,clear sky
122,Esperance,AU,2022-05-22 18:33:33,-33.8667,121.9,63.0,74,24,10.92,few clouds
123,Lorengau,PG,2022-05-22 18:33:33,-2.0226,147.2712,82.9,70,90,11.56,overcast clouds
124,Hutchinson,US,2022-05-22 18:33:34,38.0608,-97.9298,65.52,33,0,12.66,clear sky
125,Miranda,CO,2022-05-22 18:33:34,3.2499,-76.2281,84.33,67,81,2.93,broken clouds
126,Ahipara,NZ,2022-05-22 18:33:35,-35.1667,173.1667,58.89,75,100,10.22,overcast clouds
127,Elk City,US,2022-05-22 18:33:35,35.412,-99.4043,66.88,24,0,5.75,clear sky
128,Sandovo,RU,2022-05-22 18:33:36,58.4602,36.4128,35.82,65,51,5.12,broken clouds
129,Pauini,BR,2022-05-22 18:33:36,-7.7136,-66.9764,88.81,50,23,1.14,few clouds
130,Sur,OM,2022-05-22 18:33:37,22.5667,59.5289,91.76,45,0,11.41,clear sky
131,Vila Franca Do Campo,PT,2022-05-22 18:33:37,37.7167,-25.4333,64.81,90,74,4.7,light rain
132,Senneterre,CA,2022-05-22 18:33:38,48.3835,-77.2328,40.3,95,100,5.35,overcast clouds
133,Tura,IN,2022-05-22 18:33:38,25.5198,90.2201,72.48,93,98,3.62,overcast clouds
134,Oktyabrskiy,RU,2022-05-22 18:33:39,54.4815,53.471,40.95,81,91,1.43,overcast clouds
135,Sola,VU,2022-05-22 18:33:39,-13.8833,167.55,81.0,75,18,3.11,few clouds
136,Olinda,BR,2022-05-22 18:33:40,-8.0089,-34.8553,83.93,65,75,18.41,broken clouds
137,Kupang,ID,2022-05-22 18:33:40,-10.1667,123.5833,76.23,84,36,8.81,scattered clouds
138,Homer,US,2022-05-22 18:33:41,59.6425,-151.5483,59.77,64,75,0.0,broken clouds
139,Erenhot,CN,2022-05-22 18:33:41,43.6475,111.9767,67.28,35,78,4.99,broken clouds
140,Port Alfred,ZA,2022-05-22 18:33:42,-33.5906,26.891,60.37,79,60,4.07,broken clouds
141,Kyaikkami,MM,2022-05-22 18:34:42,16.08,97.5675,81.88,84,100,11.63,overcast clouds
142,Rocha,UY,2022-05-22 18:34:43,-34.4833,-54.3333,64.58,58,22,2.86,few clouds
143,Kruisfontein,ZA,2022-05-22 18:34:43,-34.0033,24.7314,54.88,76,100,2.8,overcast clouds
144,Benghazi,LY,2022-05-22 18:34:44,32.1167,20.0667,67.62,66,0,5.5,clear sky
145,Kysyl-Syr,RU,2022-05-22 18:34:44,63.8986,122.7617,43.12,74,20,3.4,few clouds
146,Bambous Virieux,MU,2022-05-22 18:34:45,-20.3428,57.7575,75.45,69,20,11.5,few clouds
147,Maracas,BR,2022-05-22 18:34:45,-13.4411,-40.4308,73.96,39,0,7.67,clear sky
148,Rawson,AR,2022-05-22 18:34:45,-43.3002,-65.1023,48.7,83,100,19.24,moderate rain
149,Nago,JP,2022-05-22 18:34:46,26.5881,127.9761,74.25,83,100,6.42,overcast clouds
150,Lagoa,PT,2022-05-22 18:33:48,39.05,-27.9833,62.24,92,100,5.97,overcast clouds
151,Araouane,ML,2022-05-22 18:34:47,18.9048,-3.5265,96.58,7,0,11.95,clear sky
152,Mezhdurechensk,RU,2022-05-22 18:34:47,53.6942,88.0603,63.79,64,91,1.21,overcast clouds
153,Kalmunai,LK,2022-05-22 18:34:48,7.4167,81.8167,81.99,70,69,4.16,broken clouds
154,Sabak,MY,2022-05-22 18:34:48,3.7675,100.9875,76.03,93,47,1.14,light rain
155,Faanui,PF,2022-05-22 18:34:49,-16.4833,-151.75,80.44,73,12,15.26,few clouds
156,Ketchikan,US,2022-05-22 18:34:49,55.3422,-131.6461,57.67,51,0,11.5,clear sky
157,Luganville,VU,2022-05-22 18:34:50,-15.5333,167.1667,76.55,91,12,3.62,few clouds
158,Impfondo,CG,2022-05-22 18:34:50,1.6381,18.0667,75.63,85,97,2.98,overcast clouds
159,Vao,NC,2022-05-22 18:34:51,-22.6667,167.4833,74.88,86,100,9.66,overcast clouds
160,Kholbon,RU,2022-05-22 18:34:51,51.8833,116.25,51.64,65,10,6.33,clear sky
161,Pangai,TO,2022-05-22 18:34:52,-19.8,-174.35,77.11,83,40,4.61,scattered clouds
162,Berlevag,NO,2022-05-22 18:34:52,70.8578,29.0864,40.95,81,75,8.05,broken clouds
163,Viedma,AR,2022-05-22 18:34:53,-40.8135,-62.9967,58.64,35,100,13.31,overcast clouds
164,Tuatapere,NZ,2022-05-22 18:34:53,-46.1333,167.6833,43.93,84,65,7.61,broken clouds
165,Sisimiut,GL,2022-05-22 18:34:54,66.9395,-53.6735,33.87,82,100,13.6,overcast clouds
166,Kosh-Agach,RU,2022-05-22 18:34:54,50.0,88.6667,57.52,41,100,7.29,overcast clouds
167,Harnosand,SE,2022-05-22 18:34:55,62.6323,17.9379,55.42,70,72,6.82,broken clouds
168,Kalmar,SE,2022-05-22 18:34:55,56.6616,16.3616,52.14,75,69,1.99,broken clouds
169,Beloha,MG,2022-05-22 18:34:55,-25.1667,45.05,65.77,84,4,6.89,clear sky
170,Kijang,KR,2022-05-22 18:34:56,35.2442,129.2139,65.93,73,2,5.01,clear sky
171,Denison,US,2022-05-22 18:34:56,33.7557,-96.5367,61.99,79,100,8.05,overcast clouds
172,Voh,NC,2022-05-22 18:34:57,-20.9667,164.7,72.73,91,2,5.06,clear sky
173,Carutapera,BR,2022-05-22 18:34:58,-1.195,-46.02,80.8,87,29,4.88,scattered clouds
174,Moanda,GA,2022-05-22 18:34:58,-1.5575,13.2178,75.43,94,43,2.57,light rain
175,Vila Velha,BR,2022-05-22 18:30:15,-20.3297,-40.2925,75.15,69,75,8.05,broken clouds
176,Tanggu,CN,2022-05-22 18:34:59,39.0211,117.6469,76.96,37,16,8.01,few clouds
177,Tuktoyaktuk,CA,2022-05-22 18:34:59,69.4541,-133.0374,23.0,74,100,8.05,overcast clouds
178,Hay River,CA,2022-05-22 18:35:00,60.8156,-115.7999,37.38,93,100,6.91,light rain
179,Bowen,AU,2022-05-22 18:35:00,-20.0167,148.2333,68.81,84,100,9.1,overcast clouds
180,Mareeba,AU,2022-05-22 18:35:01,-17.0,145.4333,68.72,90,76,2.19,broken clouds
181,Provideniya,RU,2022-05-22 18:35:01,64.3833,-173.3,49.15,43,100,10.78,overcast clouds
182,Stykkisholmur,IS,2022-05-22 18:35:02,65.0757,-22.7297,43.88,69,18,6.46,few clouds
183,Port Elizabeth,ZA,2022-05-22 18:35:02,-33.918,25.5701,57.09,88,0,3.44,clear sky
184,Dwarka,IN,2022-05-22 18:31:41,22.2394,68.9678,82.83,83,68,24.09,broken clouds
185,Talnakh,RU,2022-05-22 18:35:03,69.4865,88.3972,33.21,100,100,2.08,overcast clouds
186,Ouro Preto Do Oeste,BR,2022-05-22 18:35:03,-10.7481,-62.2158,84.43,55,5,1.3,clear sky
187,Siocon,PH,2022-05-22 18:35:04,7.7061,122.1353,78.96,86,100,3.62,overcast clouds
188,Iroquois Falls,CA,2022-05-22 18:35:05,48.7669,-80.6831,47.64,62,100,6.31,overcast clouds
189,Pec,XK,2022-05-22 18:35:05,42.6591,20.2883,60.87,88,2,4.74,clear sky
190,Bridlington,GB,2022-05-22 18:35:05,54.0831,-0.1919,57.51,86,100,12.68,overcast clouds
191,Westport,US,2022-05-22 18:34:49,41.1415,-73.3579,93.27,58,0,11.5,clear sky
192,Meadow Lake,US,2022-05-22 18:36:06,34.8014,-106.5436,66.85,31,28,7.7,scattered clouds
193,Bathsheba,BB,2022-05-22 18:36:07,13.2167,-59.5167,84.81,70,20,18.41,few clouds
194,Chuy,UY,2022-05-22 18:36:07,-33.6971,-53.4616,63.21,57,39,4.88,scattered clouds
195,Pangody,RU,2022-05-22 18:36:08,65.85,74.4859,46.11,80,100,19.62,overcast clouds
196,Khalkhal,IR,2022-05-22 18:36:08,37.6189,48.5258,59.43,30,86,4.65,overcast clouds
197,Ganzhou,CN,2022-05-22 18:36:09,28.8184,115.4327,65.19,97,100,2.28,overcast clouds
198,Mount Gambier,AU,2022-05-22 18:36:09,-37.8333,140.7667,37.31,93,100,4.61,fog
199,Camacha,PT,2022-05-22 18:36:10,33.0833,-16.3333,65.62,64,20,12.66,few clouds
200,Pinheiro Machado,BR,2022-05-22 18:36:10,-31.5783,-53.3811,62.06,66,0,3.49,clear sky
201,Lake Havasu City,US,2022-05-22 18:33:31,34.4839,-114.3224,89.06,21,0,8.05,clear sky
202,Kholtoson,RU,2022-05-22 18:36:11,50.2981,103.3097,51.84,38,22,3.29,few clouds
203,Isangel,VU,2022-05-22 18:31:16,-19.55,169.2667,75.47,85,70,6.85,broken clouds
204,Gorin,RU,2022-05-22 18:36:11,51.1983,136.6669,33.21,93,43,1.57,scattered clouds
205,Taber,CA,2022-05-22 18:36:02,49.8167,-112.1518,58.84,30,2,4.61,clear sky
206,Victoria,HK,2022-05-22 18:31:14,22.2855,114.1577,77.38,84,100,18.01,overcast clouds
207,Kodiak,US,2022-05-22 18:36:12,57.79,-152.4072,49.51,76,75,14.97,broken clouds
208,Port Lincoln,AU,2022-05-22 18:36:13,-34.7333,135.8667,61.61,78,100,10.04,overcast clouds
209,Fort Nelson,CA,2022-05-22 18:36:13,58.8053,-122.7002,51.39,62,75,5.75,broken clouds
210,Cherskiy,RU,2022-05-22 18:36:14,68.75,161.3,50.2,53,93,14.81,overcast clouds
211,Arman,RU,2022-05-22 18:36:14,59.7,150.1667,41.02,98,100,10.69,moderate rain
212,Vung Tau,VN,2022-05-22 18:36:15,10.346,107.0843,79.34,82,100,13.18,overcast clouds
213,Miyako,JP,2022-05-22 18:36:15,39.6367,141.9525,52.65,88,100,3.98,overcast clouds
214,Lompoc,US,2022-05-22 18:36:16,34.6391,-120.4579,73.69,65,0,12.66,clear sky
215,Marystown,CA,2022-05-22 18:36:16,47.1666,-55.1483,56.01,60,96,13.65,overcast clouds
216,Xichang,CN,2022-05-22 18:36:17,27.8964,102.2634,62.71,81,99,1.81,overcast clouds
217,Kyra,RU,2022-05-22 18:36:17,49.5776,111.9753,52.54,52,6,2.98,clear sky
218,Warrnambool,AU,2022-05-22 18:36:18,-38.3833,142.4833,41.81,92,6,7.56,clear sky
219,Atikokan,CA,2022-05-22 18:36:19,48.7555,-91.6216,52.25,35,100,7.47,overcast clouds
220,Muchkapskiy,RU,2022-05-22 18:36:19,51.8513,42.4717,45.77,93,100,4.18,light rain
221,Beidao,CN,2022-05-22 18:36:20,34.5686,105.8933,57.58,91,4,3.83,clear sky
222,Labuhan,ID,2022-05-22 18:36:20,-6.8844,112.2051,79.52,84,100,10.96,light rain
223,Sechura,PE,2022-05-22 18:36:21,-5.5569,-80.8222,78.93,57,3,13.62,clear sky
224,Hermiston,US,2022-05-22 18:31:29,45.8404,-119.2895,67.8,46,0,0.0,clear sky
225,Posse,BR,2022-05-22 18:36:21,-14.0931,-46.3694,82.92,28,0,0.67,clear sky
226,North Bend,US,2022-05-22 18:36:22,43.4065,-124.2243,66.24,91,0,9.22,clear sky
227,Sorland,NO,2022-05-22 18:36:22,67.667,12.6934,48.06,92,100,8.03,overcast clouds
228,Yenagoa,NG,2022-05-22 18:36:23,4.9247,6.2642,76.59,91,100,4.09,light rain
229,Grindavik,IS,2022-05-22 18:36:23,63.8424,-22.4338,55.35,66,0,21.85,clear sky
230,Murray Bridge,AU,2022-05-22 18:36:24,-35.1167,139.2667,57.13,83,31,5.82,scattered clouds
231,Mahebourg,MU,2022-05-22 18:36:24,-20.4081,57.7,75.49,69,20,11.5,few clouds
232,Chaozhou,CN,2022-05-22 18:36:25,23.6651,116.6379,71.46,94,100,1.1,overcast clouds
