City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Joseph,RE,2022-05-22 00:55:26,-21.3667,55.6167,68.38,75,19,9.86
1,Timmins,CA,2022-05-22 00:55:27,48.4669,-81.3331,44.42,70,100,9.22
2,Rikitea,PF,2022-05-22 00:55:27,-23.1203,-134.9692,75.81,74,1,11.48
3,Severo-Kurilsk,RU,2022-05-22 00:53:58,50.6789,156.125,46.18,87,68,8.14
4,Mareeba,AU,2022-05-22 00:55:28,-17.0,145.4333,78.48,77,50,3.51
5,San Carlos,VE,2022-05-22 00:54:01,9.6612,-68.5827,81.52,53,85,2.75
6,Novoagansk,RU,2022-05-22 00:55:29,61.9449,76.6625,43.65,82,98,9.46
7,Saint-Philippe,RE,2022-05-22 00:55:29,-21.3585,55.7679,69.39,75,38,8.25
8,Tuktoyaktuk,CA,2022-05-22 00:55:30,69.4541,-133.0374,28.4,69,75,10.36
9,San Cristobal,VE,2022-05-22 00:55:31,7.7669,-72.225,75.38,83,9,3.27
10,Ustupo,PA,2022-05-22 00:55:32,9.1333,-77.9333,79.39,86,20,3.38
11,Narsaq,GL,2022-05-22 00:55:32,60.9167,-46.05,38.19,77,100,3.8
12,Kusa,RU,2022-05-22 00:55:33,55.3383,59.4406,34.63,94,100,10.16
13,Bethel,US,2022-05-22 00:55:33,41.3712,-73.414,80.47,76,2,4.65
14,Ponta Delgada,PT,2022-05-22 00:55:34,37.7333,-25.6667,65.12,94,75,6.91
15,Hasaki,JP,2022-05-22 00:55:35,35.7333,140.8333,64.8,82,99,18.77
16,Longyearbyen,SJ,2022-05-22 00:55:35,78.2186,15.6401,35.44,80,75,11.5
17,Margate,GB,2022-05-22 00:55:36,51.3813,1.3862,53.69,82,7,7.02
18,Hay River,CA,2022-05-22 00:55:37,60.8156,-115.7999,53.58,50,75,8.05
19,Oranjemund,NA,2022-05-22 00:55:37,-28.55,16.4333,50.97,86,6,5.08
20,Coquimbo,CL,2022-05-22 00:55:38,-29.9533,-71.3436,56.93,100,0,6.91
21,Asfi,MA,2022-05-22 00:55:39,32.2994,-9.2372,64.87,88,80,11.72
22,Vestmannaeyjar,IS,2022-05-22 00:55:41,63.4427,-20.2734,49.12,82,27,8.08
23,Avarua,CK,2022-05-22 00:55:42,-21.2078,-159.775,77.05,83,75,4.61
24,Alice Springs,AU,2022-05-22 00:55:42,-23.7,133.8833,60.35,41,0,2.3
25,Bredasdorp,ZA,2022-05-22 00:55:43,-34.5322,20.0403,51.84,86,50,5.99
26,Albany,US,2022-05-22 00:55:44,42.6001,-73.9662,79.59,73,35,3.09
27,Cabo San Lucas,MX,2022-05-22 00:55:44,22.8909,-109.9124,80.62,68,4,12.57
28,Mataura,NZ,2022-05-22 00:55:44,-46.1927,168.8643,45.73,93,100,10.36
29,Forestville,US,2022-05-22 00:55:45,38.8451,-76.875,86.86,64,0,6.91
30,Fortuna,US,2022-05-22 00:55:46,40.5982,-124.1573,58.93,80,20,18.41
31,Hithadhoo,MV,2022-05-22 00:55:46,-0.6,73.0833,82.8,70,100,10.51
32,Punta Arenas,CL,2022-05-22 00:55:46,-53.15,-70.9167,32.11,93,40,3.44
33,Katsuura,JP,2022-05-22 00:55:47,35.1333,140.3,62.71,88,97,15.9
34,Abha,SA,2022-05-22 00:55:48,18.2164,42.5053,66.45,10,0,0.0
35,Mandalgovi,MN,2022-05-22 00:55:48,45.7625,106.2708,60.75,49,84,22.1
36,Carauari,BR,2022-05-22 00:55:49,-4.8828,-66.8958,71.8,97,50,1.72
37,Atuona,PF,2022-05-22 00:55:49,-9.8,-139.0333,78.08,77,19,8.72
38,Zagora,MA,2022-05-22 00:55:50,30.3484,-5.8365,78.3,18,20,1.86
39,Qaanaaq,GL,2022-05-22 00:55:51,77.484,-69.3632,16.12,88,99,3.02
40,Mezen,RU,2022-05-22 00:55:52,65.8522,44.24,28.53,79,89,9.06
41,Araouane,ML,2022-05-22 00:55:52,18.9048,-3.5265,87.73,18,2,3.6
42,Calatayud,ES,2022-05-22 00:55:53,41.3535,-1.6432,73.49,29,98,5.3
43,Coihaique,CL,2022-05-22 00:55:53,-45.5752,-72.0662,34.41,100,100,4.61
44,Fort Nelson,CA,2022-05-22 00:55:54,58.8053,-122.7002,67.59,19,75,8.05
45,Ribeira Grande,PT,2022-05-22 00:55:55,38.5167,-28.7,64.76,94,100,2.82
46,Kirakira,SB,2022-05-22 00:56:56,-10.4544,161.9205,85.3,65,12,5.08
47,Srandakan,ID,2022-05-22 00:56:56,-7.9386,110.2506,79.7,80,95,3.31
48,Columbia,US,2022-05-22 00:53:40,34.0007,-81.0348,74.23,94,75,1.99
49,Leander,US,2022-05-22 00:56:57,30.5788,-97.8531,90.93,55,100,1.01
50,Puerto Ayora,EC,2022-05-22 00:56:57,-0.7393,-90.3518,71.55,94,100,7.65
51,Bonthe,SL,2022-05-22 00:56:58,7.5264,-12.505,75.63,92,100,4.38
52,Vaini,TO,2022-05-22 00:56:58,-21.2,-175.2,82.56,69,75,5.75
53,Salalah,OM,2022-05-22 00:56:59,17.0151,54.0924,79.36,83,41,4.05
54,Kavieng,PG,2022-05-22 00:57:00,-2.5744,150.7967,85.12,64,94,14.74
55,Yellowknife,CA,2022-05-22 00:55:02,62.456,-114.3525,50.52,53,75,5.75
56,Cochrane,CA,2022-05-22 00:56:18,51.1834,-114.4687,52.9,33,75,5.75
57,Timbo,BR,2022-05-22 00:57:01,-26.8233,-49.2717,54.72,96,0,1.25
58,Bluff,NZ,2022-05-22 00:57:01,-46.6,168.3333,49.64,63,99,27.69
59,Ballina,AU,2022-05-22 00:57:02,-28.8667,153.5667,64.78,81,100,13.78
60,Khatanga,RU,2022-05-22 00:57:02,71.9667,102.5,36.05,89,100,6.49
61,Pevek,RU,2022-05-22 00:57:03,69.7008,170.3133,35.92,93,96,5.66
62,Suntar,RU,2022-05-22 00:57:03,62.1444,117.6319,58.84,53,100,4.81
63,Kenora,CA,2022-05-22 00:56:23,49.8167,-94.4337,41.97,65,100,6.91
64,Jamestown,US,2022-05-22 00:56:00,42.097,-79.2353,65.84,93,100,4.61
65,Boguchany,RU,2022-05-22 00:57:04,58.3814,97.4531,55.0,52,8,7.92
66,Dikson,RU,2022-05-22 00:57:05,73.5069,80.5464,24.78,93,28,8.46
67,Hermanus,ZA,2022-05-22 00:57:05,-34.4187,19.2345,56.82,78,7,7.43
68,Saskylakh,RU,2022-05-22 00:57:06,71.9167,114.0833,34.68,100,99,5.19
69,Port Alfred,ZA,2022-05-22 00:57:06,-33.5906,26.891,57.61,81,4,6.62
70,Te Anau,NZ,2022-05-22 00:57:07,-45.4167,167.7167,46.98,87,100,4.18
71,Bubaque,GW,2022-05-22 00:57:07,11.2833,-15.8333,78.6,78,100,12.53
72,Gazli,UZ,2022-05-22 00:57:08,40.1333,63.45,59.34,40,0,5.53
73,Hobart,AU,2022-05-22 00:57:08,-42.8794,147.3294,52.27,82,75,14.97
74,Corinto,GR,2022-05-22 00:57:09,37.9407,22.9573,61.41,56,89,3.58
75,Porterville,US,2022-05-22 00:54:40,36.0652,-119.0168,88.52,13,0,5.86
76,Dingle,PH,2022-05-22 00:57:09,10.9995,122.6711,82.49,79,100,5.97
77,Hilo,US,2022-05-22 00:55:05,19.7297,-155.09,90.28,84,38,4.0
78,Tasiilaq,GL,2022-05-22 00:57:10,65.6145,-37.6368,31.33,73,100,1.34
79,Ushuaia,AR,2022-05-22 00:57:10,-54.8,-68.3,37.06,81,0,1.14
80,Isangel,VU,2022-05-22 00:57:11,-19.55,169.2667,82.51,78,40,9.22
81,General Roca,AR,2022-05-22 00:53:39,-39.0333,-67.5833,53.62,31,88,7.81
82,Latung,PH,2022-05-22 00:57:12,5.5,120.8833,78.8,86,100,6.71
83,Kjollefjord,NO,2022-05-22 00:57:12,70.9457,27.3465,41.05,94,100,5.14
84,Arraial Do Cabo,BR,2022-05-22 00:54:12,-22.9661,-42.0278,69.78,70,22,6.31
85,Shivrajpur,IN,2022-05-22 00:57:13,22.4167,73.65,80.56,74,6,17.43
86,Chokurdakh,RU,2022-05-22 00:57:13,70.6333,147.9167,34.27,100,100,2.82
87,Chernyshevskiy,RU,2022-05-22 00:57:14,63.0128,112.4714,57.18,50,96,5.99
88,Busselton,AU,2022-05-22 00:54:36,-33.65,115.3333,64.26,75,1,16.64
89,Ancud,CL,2022-05-22 00:57:15,-41.8697,-73.8203,53.2,93,100,24.61
90,Kapaa,US,2022-05-22 00:58:15,22.0752,-159.319,83.12,78,24,4.0
91,Manta,EC,2022-05-22 00:58:16,-0.95,-80.7333,76.78,88,100,10.36
92,Sao Joao Da Barra,BR,2022-05-22 00:58:16,-21.6403,-41.0511,67.05,78,7,4.38
93,Payo,ID,2022-05-22 00:58:17,-3.7508,103.6372,78.78,83,99,0.87
94,Long Beach,US,2022-05-22 00:58:17,33.767,-118.1892,70.29,72,40,10.36
95,Nikolskoye,RU,2022-05-22 00:58:18,59.7035,30.7861,42.69,75,0,5.79
96,New Norfolk,AU,2022-05-22 00:58:18,-42.7826,147.0587,51.93,67,100,2.62
97,Saldanha,ZA,2022-05-22 00:58:19,-33.0117,17.9442,46.45,80,75,4.94
98,Ilulissat,GL,2022-05-22 00:58:19,69.2167,-51.1,29.84,80,100,6.53
99,Milkovo,RU,2022-05-22 00:58:20,54.7167,158.6167,44.73,79,100,2.15
100,Luderitz,NA,2022-05-22 00:58:20,-26.6481,15.1594,56.28,59,13,8.9
101,Eyl,SO,2022-05-22 00:58:21,7.9803,49.8164,83.82,61,85,21.81
102,Tateyama,JP,2022-05-22 00:58:21,34.9833,139.8667,62.28,87,100,17.45
103,Porbandar,IN,2022-05-22 00:58:22,21.6422,69.6093,82.9,78,50,21.79
104,Alexandria,EG,2022-05-22 00:54:41,31.2156,29.9553,66.79,62,0,14.14
105,Cape Town,ZA,2022-05-22 00:56:37,-33.9258,18.4232,55.11,88,0,2.3
106,Bhatapara,IN,2022-05-22 00:58:23,21.7333,81.9333,90.81,34,1,6.78
107,Vao,NC,2022-05-22 00:58:23,-22.6667,167.4833,73.69,87,99,26.84
108,Pokhara,NP,2022-05-22 00:58:24,28.2333,83.9833,70.86,70,8,0.94
109,Henties Bay,NA,2022-05-22 00:58:24,-22.116,14.2845,56.1,77,0,7.25
110,Torbay,CA,2022-05-22 00:58:25,47.6666,-52.7314,56.17,50,75,6.91
111,Vezirkopru,TR,2022-05-22 00:58:26,41.1436,35.4547,48.69,69,0,2.17
112,Southbridge,US,2022-05-22 00:58:26,42.0751,-72.0334,77.86,85,0,6.87
113,Georgetown,MY,2022-05-22 00:55:54,5.4112,100.3354,85.93,87,20,3.44
114,Inuvik,CA,2022-05-22 00:58:27,68.3499,-133.7218,38.16,73,100,8.05
115,Urusha,RU,2022-05-22 00:58:27,54.05,122.9,45.21,89,100,8.14
116,Lebu,CL,2022-05-22 00:58:28,-37.6167,-73.65,52.27,89,100,11.18
117,Cayenne,GF,2022-05-22 00:53:48,4.9333,-52.3333,79.09,1,75,3.44
118,Chebsara,RU,2022-05-22 00:58:29,59.2002,38.8356,24.98,80,10,5.53
119,Ulladulla,AU,2022-05-22 00:58:29,-35.35,150.4667,59.77,79,100,9.95
120,Honningsvag,NO,2022-05-22 00:58:30,70.9821,25.9704,40.75,87,88,3.44
121,Butaritari,KI,2022-05-22 00:58:30,3.0707,172.7902,80.89,80,100,11.3
122,Buraydah,SA,2022-05-22 00:58:31,26.326,43.975,84.65,16,0,11.25
123,Lakes Entrance,AU,2022-05-22 00:58:31,-37.8811,147.981,54.16,69,0,2.46
124,Beloha,MG,2022-05-22 00:58:32,-25.1667,45.05,65.95,47,0,4.41
125,Yinchuan,CN,2022-05-22 00:58:13,38.4681,106.2731,72.45,38,1,6.49
126,Saedinenie,BG,2022-05-22 00:58:33,42.2667,24.55,60.55,77,75,4.61
127,Talcahuano,CL,2022-05-22 00:58:33,-36.7167,-73.1167,53.28,94,0,3.44
128,Clyde River,CA,2022-05-22 00:58:34,70.4692,-68.5914,21.43,86,100,6.91
129,Julio De Castilhos,BR,2022-05-22 00:58:34,-29.2269,-53.6817,48.97,84,98,2.37
130,Nemuro,JP,2022-05-22 00:58:35,43.3236,145.575,52.12,93,98,10.78
131,Laguna,US,2022-05-22 00:58:35,38.421,-121.4238,89.15,12,0,8.05
132,Castro,BR,2022-05-22 00:58:36,-24.7911,-50.0119,46.06,77,5,1.66
133,Ponta Do Sol,PT,2022-05-22 00:58:36,32.6667,-17.1,66.7,83,94,2.53
134,Mananjary,MG,2022-05-22 00:58:37,-21.2167,48.3333,64.72,92,14,4.63
135,Ostrovnoy,RU,2022-05-22 00:59:37,68.0531,39.5131,30.16,74,27,8.52
136,Souillac,MU,2022-05-22 00:59:38,-20.5167,57.5167,70.18,83,20,2.3
137,Nishihara,JP,2022-05-22 00:59:38,26.1842,127.7558,76.28,73,20,11.5
138,Xining,CN,2022-05-22 00:57:20,36.6167,101.7667,56.98,55,0,2.3
139,Bose,IT,2022-05-22 00:59:39,45.4612,8.0137,68.76,73,23,4.23
140,Deputatskiy,RU,2022-05-22 00:59:39,69.3,139.9,31.37,100,100,1.77
141,Salisbury,GB,2022-05-22 00:56:21,51.0693,-1.7957,53.46,86,100,2.3
142,Aklavik,CA,2022-05-22 00:59:40,68.2191,-135.0107,36.36,83,99,6.26
143,Bengkulu,ID,2022-05-22 00:58:58,-3.8004,102.2655,79.18,77,28,3.04
144,Marquette,US,2022-05-22 00:59:41,46.5333,-87.6335,40.68,66,97,4.0
145,Paragominas,BR,2022-05-22 00:58:16,-2.9667,-47.4833,69.35,95,100,1.39
146,Lompoc,US,2022-05-22 00:59:41,34.6391,-120.4579,72.7,66,1,7.0
147,San Angelo,US,2022-05-22 00:59:42,31.4638,-100.437,81.41,33,0,8.01
148,Atbasar,KZ,2022-05-22 00:59:42,51.8,68.3333,49.39,71,100,13.87
149,Pionerskiy,RU,2022-05-22 00:59:43,54.9508,20.2275,48.04,92,100,25.17
150,Barrow,US,2022-05-22 00:59:44,71.2906,-156.7887,30.61,80,100,10.54
151,Mar Del Plata,AR,2022-05-22 00:59:44,-38.0023,-57.5575,50.95,90,88,4.0
152,Manaure,CO,2022-05-22 00:59:45,11.7751,-72.4445,82.18,67,0,19.91
153,Osijek,HR,2022-05-22 00:59:45,45.5511,18.6939,66.22,88,40,5.75
154,Uvat,RU,2022-05-22 00:59:46,59.1433,68.8953,50.85,89,100,11.68
155,Jurbise,BE,2022-05-22 00:59:46,50.5332,3.9108,54.21,91,20,1.14
156,Shieli,KZ,2022-05-22 00:59:47,44.1667,66.75,57.43,55,7,10.6
157,Sitka,US,2022-05-22 00:59:47,57.0531,-135.33,59.18,53,63,3.02
158,Tashtyp,RU,2022-05-22 00:59:48,52.7939,89.8983,61.18,49,100,3.76
159,Provideniya,RU,2022-05-22 00:59:48,64.3833,-173.3,52.07,46,100,9.01
160,Pangody,RU,2022-05-22 00:59:49,65.85,74.4859,34.38,87,100,9.84
161,Port Elizabeth,ZA,2022-05-22 00:59:49,-33.918,25.5701,52.11,93,0,4.61
162,Sfantu Gheorghe,RO,2022-05-22 00:59:50,45.8667,25.7833,61.66,93,98,4.09
163,Half Moon Bay,US,2022-05-22 00:59:50,37.4636,-122.4286,82.54,69,0,14.97
164,Varkaus,FI,2022-05-22 00:59:51,62.3153,27.873,38.3,75,2,3.76
165,Nicoya,CR,2022-05-22 00:59:51,10.1483,-85.452,78.12,87,100,0.92
166,Andra,RU,2022-05-22 00:59:52,62.5147,65.8878,38.79,90,100,19.51
167,Doha,QA,2022-05-22 00:59:51,25.2867,51.5333,91.38,21,0,17.27
168,Cockburn Town,TC,2022-05-22 00:59:53,21.4612,-71.1419,79.48,83,100,17.98
169,Odweyne,SO,2022-05-22 00:59:53,9.4092,45.064,74.43,61,100,11.83
170,Thompson,CA,2022-05-22 00:59:53,55.7435,-97.8558,53.76,28,40,10.36
171,Sinnamary,GF,2022-05-22 00:59:54,5.3833,-52.95,77.41,87,100,11.99
172,Likasi,CD,2022-05-22 00:55:08,-10.9814,26.7333,59.05,81,68,2.37
173,Myitkyina,MM,2022-05-22 00:59:55,25.3833,97.4,75.94,89,27,2.33
174,Carnarvon,AU,2022-05-22 00:59:55,-24.8667,113.6333,74.01,61,64,18.52
175,Ushtobe,KZ,2022-05-22 00:59:56,45.2514,77.9838,70.11,54,0,7.78
176,Pesca,CO,2022-05-22 00:59:56,5.55,-73.05,51.75,97,92,3.65
177,Srednekolymsk,RU,2022-05-22 00:59:57,67.45,153.6833,57.63,40,100,10.2
178,Scarborough,GB,2022-05-22 00:59:57,54.2797,-0.4044,53.78,83,93,5.01
179,Kupang,ID,2022-05-22 00:59:58,-10.1667,123.5833,84.58,61,10,12.26
180,Mehamn,NO,2022-05-22 00:59:58,71.0357,27.8492,39.11,96,100,9.98
181,East London,ZA,2022-05-22 00:59:59,-33.0153,27.9116,59.11,79,26,3.74
182,Matamoros,MX,2022-05-22 01:00:34,25.5333,-103.25,90.84,7,0,12.35
183,Saint-Pierre,RE,2022-05-22 00:58:09,-21.3393,55.4781,69.48,73,0,9.22
184,Quimperle,FR,2022-05-22 01:01:00,47.8667,-3.55,58.98,71,0,9.22
185,Bari,IT,2022-05-22 01:01:00,41.1177,16.8512,70.25,73,0,5.75
186,Omsukchan,RU,2022-05-22 01:01:01,62.5333,155.8,35.38,82,92,8.97
187,Kaeo,NZ,2022-05-22 01:01:02,-35.1,173.7833,64.27,61,100,8.93
188,Mayo,US,2022-05-22 01:01:02,38.8876,-76.5119,86.16,75,0,9.22
189,Bowen,AU,2022-05-22 01:01:02,-20.0167,148.2333,75.63,71,62,13.15
190,Buin,CL,2022-05-22 01:01:03,-33.7333,-70.75,61.74,44,100,2.21
191,Kiruna,SE,2022-05-22 01:01:03,67.8557,20.2251,38.32,93,100,5.75
192,Maneciu,RO,2022-05-22 01:01:04,45.3167,25.9833,60.13,68,51,8.34
193,Yatou,CN,2022-05-22 01:01:04,37.15,122.3833,80.78,38,0,10.22
194,Krasnoarmeysk,RU,2022-05-22 01:01:05,51.0239,45.6969,45.59,60,100,5.91
195,Petropavlovsk-Kamchatskiy,RU,2022-05-22 01:01:05,53.0452,158.6483,43.39,81,75,6.71
196,Iquitos,PE,2022-05-22 01:01:06,-3.7481,-73.2472,75.58,81,99,1.12
197,Tiksi,RU,2022-05-22 01:01:06,71.6872,128.8694,30.36,93,100,4.79
198,Nanortalik,GL,2022-05-22 01:01:07,60.1432,-45.2371,38.35,84,100,2.28
199,Beringovskiy,RU,2022-05-22 01:01:07,63.05,179.3167,38.25,83,100,10.47
200,Kruisfontein,ZA,2022-05-22 01:01:08,-34.0033,24.7314,49.89,86,0,4.99
201,Fereydunshahr,IR,2022-05-22 01:01:08,32.941,50.121,45.66,22,83,2.15
202,Yerkoy,TR,2022-05-22 01:01:09,39.6381,34.4672,54.39,63,0,1.63
203,Djenne,ML,2022-05-22 01:01:09,13.9061,-4.5533,88.2,39,100,7.05
204,Pozo Colorado,PY,2022-05-22 01:01:10,-23.4923,-58.7972,57.97,68,100,5.44
205,Casas Grandes,MX,2022-05-22 01:01:10,30.3667,-107.95,86.45,6,0,16.31
206,La Ronge,CA,2022-05-22 00:56:24,55.1001,-105.2842,59.25,14,75,9.22
207,Vilhena,BR,2022-05-22 01:00:08,-12.7406,-60.1458,64.49,80,4,1.63
208,Kaitangata,NZ,2022-05-22 01:01:13,-46.2817,169.8464,47.97,87,100,13.94
209,Patti,IN,2022-05-22 01:01:13,31.2808,74.8572,77.07,39,0,6.33
210,Impfondo,CG,2022-05-22 01:01:13,1.6381,18.0667,70.12,91,100,2.55
211,Touros,BR,2022-05-22 01:01:14,-5.1989,-35.4608,76.26,86,3,9.28
212,Mantua,IT,2022-05-22 01:01:15,45.1667,10.7833,72.64,84,13,1.99
213,Cidreira,BR,2022-05-22 01:01:15,-30.1811,-50.2056,56.3,81,87,5.44
214,Shiki,JP,2022-05-22 01:01:15,35.8333,139.5833,66.97,81,100,8.37
215,San Andres,CO,2022-05-22 01:01:16,12.5847,-81.7006,78.04,85,100,8.05
216,Faanui,PF,2022-05-22 01:01:17,-16.4833,-151.75,80.91,70,12,10.04
217,Chifeng,CN,2022-05-22 01:01:17,42.2683,118.9636,73.53,18,5,7.72
218,Bull Savanna,JM,2022-05-22 01:01:18,17.8868,-77.5902,74.91,84,91,12.8
219,Yamada,JP,2022-05-22 01:01:18,39.4667,141.95,57.94,92,100,3.13
220,Numan,NG,2022-05-22 01:01:19,9.4667,12.0333,82.04,61,95,8.7
221,Bolshoy Lug,RU,2022-05-22 01:01:19,52.0779,104.0919,57.38,40,99,4.41
222,Bambous Virieux,MU,2022-05-22 01:01:20,-20.3428,57.7575,71.22,74,15,12.73
223,Conde,BR,2022-05-22 01:01:20,-7.2597,-34.9075,73.78,90,100,9.37
224,Lavrentiya,RU,2022-05-22 01:01:21,65.5833,-171.0,37.98,93,94,9.69
225,Kodiak,US,2022-05-22 01:01:21,57.79,-152.4072,44.24,96,100,31.14
226,Priiskovyy,RU,2022-05-22 01:01:22,51.9333,116.6333,56.23,79,100,15.12
227,Cave Spring,US,2022-05-22 01:01:22,37.2276,-80.0128,71.71,91,100,3.44
228,Vanimo,PG,2022-05-22 01:02:23,-2.6741,141.3028,81.66,83,100,2.86
229,Gladstone,AU,2022-05-22 01:02:23,-23.85,151.25,75.13,60,40,10.36
230,Mandurah,AU,2022-05-22 01:00:32,-32.55,115.7,62.91,65,0,15.37
231,Makakilo City,US,2022-05-22 00:59:07,21.3469,-158.0858,82.62,62,87,5.39
232,Araguacu,BR,2022-05-22 01:02:24,-12.9306,-49.8264,64.76,41,0,3.24
233,Necochea,AR,2022-05-22 01:00:10,-38.5473,-58.7368,50.09,77,0,4.54
234,Sumenep,ID,2022-05-22 01:02:25,-7.0167,113.8667,84.13,71,38,12.73
235,Shakiso,ET,2022-05-22 01:02:25,5.75,38.9167,59.31,99,100,0.81
236,Abilene,US,2022-05-22 01:02:26,32.4487,-99.7331,75.78,42,0,13.8
237,Ormara,PK,2022-05-22 01:02:26,25.2088,64.6357,81.0,92,20,16.2
238,Kitimat,CA,2022-05-22 01:00:16,54.0524,-128.6534,69.91,30,1,1.99
239,Ukiah,US,2022-05-22 01:00:03,39.1502,-123.2078,83.44,39,14,6.98
240,Tumut,AU,2022-05-22 01:02:27,-35.3,148.2167,62.51,51,55,1.5
241,Airai,TL,2022-05-22 01:02:28,-8.9266,125.4092,70.18,52,34,4.72
242,Anqing,CN,2022-05-22 01:02:28,30.5092,117.0506,75.34,64,100,1.34
243,Sorong,ID,2022-05-22 01:00:22,-0.8833,131.25,81.72,78,100,2.04
244,Tautira,PF,2022-05-22 01:02:29,-17.7333,-149.15,79.48,73,16,9.62
245,Virginia Beach,US,2022-05-22 01:00:00,36.8529,-75.978,78.82,87,100,2.95
246,Khani,GE,2022-05-22 01:02:30,41.9563,42.9566,44.17,66,0,6.4
247,Norman Wells,CA,2022-05-22 01:02:30,65.282,-126.8329,42.84,87,75,10.36
248,Murindo,CO,2022-05-22 01:02:31,6.9848,-76.7544,76.8,93,100,2.26
249,Talnakh,RU,2022-05-22 01:02:31,69.4865,88.3972,42.21,96,99,1.36
250,Santiago De Cuba,CU,2022-05-22 01:02:32,20.0247,-75.8219,77.74,91,100,2.42
251,Kiunga,PG,2022-05-22 01:02:32,-6.1219,141.2906,83.79,72,87,3.51
252,Codrington,AU,2022-05-22 01:02:33,-38.2667,141.9667,55.38,67,6,6.29
253,Den Helder,NL,2022-05-22 01:01:35,52.9599,4.7593,51.78,98,67,5.01
254,Denpasar,ID,2022-05-22 01:01:44,-8.65,115.2167,82.06,83,20,3.44
255,Rio Grande,BR,2022-05-22 01:02:33,-32.035,-52.0986,49.95,76,100,5.3
256,Saint Helens,GB,2022-05-22 01:02:34,53.45,-2.7333,56.03,78,82,5.03
257,Dingzhou,CN,2022-05-22 01:02:34,38.5131,114.9956,85.05,21,11,4.43
258,Cotonou,BJ,2022-05-22 01:00:14,6.3654,2.4183,77.77,87,100,9.78
259,Sechura,PE,2022-05-22 01:02:35,-5.5569,-80.8222,68.41,75,99,15.3
260,Misratah,LY,2022-05-22 01:02:35,32.3754,15.0925,65.91,49,0,3.71
261,Waingapu,ID,2022-05-22 01:02:36,-9.6567,120.2641,83.8,67,16,12.95
262,Senanga,ZM,2022-05-22 01:02:36,-16.1167,23.2667,48.27,35,7,5.82
263,College,US,2022-05-22 01:02:37,64.8569,-147.8028,76.59,30,100,1.01
264,Cherskiy,RU,2022-05-22 01:02:37,68.75,161.3,57.94,39,15,15.7
265,Adrar,MR,2022-05-22 01:02:38,20.5022,-10.0711,87.51,10,0,2.86
266,Teluknaga,ID,2022-05-22 01:02:38,-6.0989,106.6381,82.63,88,40,2.3
267,Chuy,UY,2022-05-22 01:02:39,-33.6971,-53.4616,52.11,87,100,6.24
268,Nouadhibou,MR,2022-05-22 01:02:39,20.931,-17.0347,65.53,91,86,20.87
269,Watertown,US,2022-05-22 00:57:49,42.3709,-71.1828,77.99,83,12,3.0
270,Pochutla,MX,2022-05-22 01:02:40,15.7432,-96.4661,83.82,64,90,7.76
271,Jacareacanga,BR,2022-05-22 01:02:40,-6.2222,-57.7528,75.18,75,95,1.1
272,Jablanica,BA,2022-05-22 01:02:41,43.6603,17.7617,64.35,93,100,4.94
273,Broken Hill,AU,2022-05-22 01:02:31,-31.95,141.4333,61.29,63,23,12.03
274,San Quintin,MX,2022-05-22 01:02:41,30.4833,-115.95,61.77,67,100,7.54
275,Bonnyville,CA,2022-05-22 00:59:57,54.2668,-110.735,58.8,43,63,6.96
276,Grindavik,IS,2022-05-22 01:03:42,63.8424,-22.4338,43.27,93,0,13.8
277,Changji,CN,2022-05-22 01:03:43,44.0167,87.3167,75.99,25,0,6.71
278,Le Port,RE,2022-05-22 01:03:43,-20.9373,55.2919,71.56,77,3,2.89
279,Sept-Iles,CA,2022-05-22 01:03:44,50.2001,-66.3821,46.92,97,100,2.3
